Chunk_ID,Date_Range,Row_Count,Load_Time_s,Fit_Time_s,Total_Chunk_Time_s,RAM_Usage_GB,Total_Trees,Val_RMSE
1,2013-01-01 → 2013-06-30,3999156,19.65,64.01,86.57,2.57,500,0.035975
2,2013-07-01 → 2013-12-31,8629229,25.8,166.51,200.01,2.18,999,0.033938
3,2014-01-01 → 2014-06-30,9904527,32.25,269.22,310.19,1.49,1494,0.030621
4,2014-07-01 → 2014-12-31,12367075,35.39,498.02,546.91,1.58,1993,0.026258
5,2015-01-01 → 2015-06-30,11681661,34.15,562.8,605.24,1.62,2493,0.025386
6,2015-07-01 → 2015-12-31,16182983,39.32,941.71,997.07,1.87,2976,0.024301
7,2016-01-01 → 2016-06-30,17198423,40.08,1165.42,1223.19,1.95,2999,0.024268
8,2016-07-01 → 2016-12-31,18031448,41.58,1238.39,1298.78,2.03,3013,0.024132
9,2017-01-01 → 2017-07-31,22237293,41.94,1614.31,1687.13,2.34,3512,0.023161
