Model,RMSLE,RMSE,MAE,MAPE,R2_Score,Train_Time_s,Pred_Time_s,Rank
LightGBM,0.01989915531511184,2.5294753454549004,0.23231276931074998,0.9366674563193635,0.9678709038963098,79.43380546569824,0.28070664405822754,1
XGBoost,0.02286837674477102,2.8240731229473615,0.25775790214538574,1.0705820322036743,0.9599512219429016,17.677291870117188,0.046625375747680664,2
CatBoost,0.03044971980544694,3.6273412105886567,0.35424918952291806,1.1867959461772246,0.9339284605188061,23.291239261627197,0.013329744338989258,3
