iter	RMSE
0	0.8043306285
1	0.7676470952
2	0.7334359833
3	0.7012199656
4	0.6699864218
5	0.6401967956
6	0.6120367768
7	0.5848725275
8	0.5590796957
9	0.53404777
10	0.5102934584
11	0.4877182547
12	0.4663050857
13	0.4456154653
14	0.4267560331
15	0.4081282921
16	0.3904570282
17	0.3737118036
18	0.3575636545
19	0.3422335882
20	0.3275627207
21	0.3135811764
22	0.3005059722
23	0.2878534256
24	0.2755450255
25	0.2638120654
26	0.2529359548
27	0.242432425
28	0.2323483284
29	0.2227988725
30	0.2136340232
31	0.2047917694
32	0.1962770107
33	0.1883356604
34	0.180649156
35	0.1732506971
36	0.1662806126
37	0.159534017
38	0.1530644485
39	0.1470780997
40	0.1412699944
41	0.1358672989
42	0.1305288068
43	0.1255771545
44	0.1207933636
45	0.1162472191
46	0.1118716986
47	0.107811623
48	0.1038020961
49	0.1000775079
50	0.09628982674
51	0.09282312384
52	0.08954507276
53	0.08629026659
54	0.0833560057
55	0.0805489432
56	0.07784203306
57	0.0752664297
58	0.07281532647
59	0.07038523712
60	0.06822856378
61	0.0661327754
62	0.06420325661
63	0.0623131194
64	0.06047742624
65	0.05872655628
66	0.0571307559
67	0.05555860441
68	0.0541184861
69	0.05271713565
70	0.05138567239
71	0.05017216322
72	0.04897306083
73	0.04782937961
74	0.04678458241
75	0.04579836135
76	0.04480749316
77	0.04391672253
78	0.0430500453
79	0.04223293805
80	0.04147107685
81	0.04074477429
82	0.0400693114
83	0.03942309281
84	0.03881134663
85	0.03821183969
86	0.03767742628
87	0.03713100238
88	0.03662054057
89	0.03615584297
90	0.03571805849
91	0.03529987895
92	0.034908641
93	0.0345288173
94	0.03419269327
95	0.03387801399
96	0.03356701572
97	0.03327729032
98	0.03296763624
99	0.03268881242
100	0.0324240454
101	0.03215021466
102	0.03189356675
103	0.03165560744
104	0.03142837732
105	0.03120936083
106	0.03101492824
107	0.03083901028
108	0.03064813062
109	0.030450576
110	0.03025879265
111	0.03011256303
112	0.02994462892
113	0.02979381976
114	0.02965871898
115	0.02954100223
116	0.02941330204
117	0.02928931744
118	0.02915264311
119	0.02894995236
120	0.02876997212
121	0.02862686811
122	0.02848709462
123	0.02835883875
124	0.02825232869
125	0.02816070699
126	0.02804959941
127	0.02791395559
128	0.02780996846
129	0.02767738435
130	0.02757435562
131	0.02749688986
132	0.02740447202
133	0.02727772093
134	0.02717570885
135	0.0270473351
136	0.02698062357
137	0.02688496138
138	0.02679884412
139	0.02666543562
140	0.0265762189
141	0.02651979486
142	0.02638530404
143	0.02628485278
144	0.02617691297
145	0.02608198878
146	0.02600777469
147	0.02593808507
148	0.02585491663
149	0.02577315837
150	0.02571302259
151	0.0256478226
152	0.02559315203
153	0.02554023272
154	0.02544007107
155	0.02534780621
156	0.02525694663
157	0.02519157969
158	0.0251269004
159	0.02499008381
160	0.02492277114
161	0.02486257779
162	0.02478091008
163	0.0247372439
164	0.02468192691
165	0.02459799065
166	0.02455020562
167	0.02448099794
168	0.02444157367
169	0.02439520723
170	0.02434398575
171	0.02429266603
172	0.02417356525
173	0.02410641289
174	0.02405460292
175	0.02402140843
176	0.02392247794
177	0.02385900925
178	0.02381513086
179	0.0237819132
180	0.0237398922
181	0.02367504971
182	0.02363981164
183	0.0235997123
184	0.02351498448
185	0.02344820054
186	0.02340036912
187	0.02334442707
188	0.02327118512
189	0.02321480808
190	0.02312778725
191	0.02306506166
192	0.023011018
193	0.02296768321
194	0.02291156264
195	0.02286561471
196	0.02281438912
197	0.0227154485
198	0.02266855789
199	0.02262947062
200	0.02255470291
201	0.0225196998
202	0.02247849167
203	0.02243215654
204	0.02236972022
205	0.0223373063
206	0.02228337853
207	0.02222837945
208	0.02219393016
209	0.02216243541
210	0.02211667395
211	0.0220857122
212	0.02204770876
213	0.02201486076
214	0.0219682971
215	0.02194223857
216	0.02188577649
217	0.02180614653
218	0.02176855977
219	0.02172146594
220	0.02169071409
221	0.02162537315
222	0.02158522978
223	0.02154272969
224	0.02148669234
225	0.02144609286
226	0.02139765481
227	0.02137167536
228	0.02134253961
229	0.02131040121
230	0.02127347027
231	0.02123235896
232	0.0212123072
233	0.021185681
234	0.02115244192
235	0.02112175656
236	0.02107848683
237	0.02101841961
238	0.02098212494
239	0.02094817245
240	0.02092419709
241	0.02089031315
242	0.02086090309
243	0.02079158494
244	0.02075313392
245	0.02072709364
246	0.02067207917
247	0.02063613007
248	0.02059733502
249	0.02057047264
250	0.02053057103
251	0.02049325708
252	0.02047445749
253	0.02043751735
254	0.02040741146
255	0.02038092745
256	0.02032648256
257	0.02030334346
258	0.0202823132
259	0.02024813847
260	0.02021655785
261	0.02019737508
262	0.02017678743
263	0.02014697474
264	0.02011975805
265	0.02009918839
266	0.02006549244
267	0.02001795733
268	0.01998958092
269	0.0199759354
270	0.01995103257
271	0.01990742321
272	0.01987318977
273	0.01983891675
274	0.01980178735
275	0.01977404836
276	0.01973668671
277	0.01971030169
278	0.01968340681
279	0.01965468042
280	0.01962861697
281	0.01959678673
282	0.01956578898
283	0.01955156077
284	0.01951713714
285	0.01948726403
286	0.01946426179
287	0.01944270736
288	0.01941074975
289	0.01938016551
290	0.0193535478
291	0.01933032586
292	0.0193105397
293	0.01929913478
294	0.01927315485
295	0.01922912038
296	0.01919692615
297	0.01917664695
298	0.0191486832
299	0.01912444046
